diseaseCategory,name
"Injury, Poison, External",Dislocation of other specified part of finger
"Injury, Poison, External","Dislocation (Dislocation, sprain and strain of unspecified body region)"
"Injury, Poison, External",Injury (Injury of blood vessel(s) of unspecified body region)
"Injury, Poison, External",Injury (Injury of muscles and tendons of unspecified body region)
"Injury, Poison, External","Injury (Injury, unspecified)"
"Injury, Poison, External",Open wound of neck
"Injury, Poison, External",Foreign body in respiratory tract
"Injury, Poison, External","Injuries to the ankle or foot, unspecified"
"Injury, Poison, External",Physical abuse
"Injury, Poison, External","Anaphylactic shock, unspecified"
"Injury, Poison, External",Traumatic cerebral oedema
"Injury, Poison, External","Post-traumatic wound infection, not elsewhere classified"
"Injury, Poison, External",Injury to fingernail
"Injury, Poison, External",Effects of hunger
"Injury, Poison, External",Neglect or abandonment
"Injury, Poison, External",Toxic effect: Snake venom
"Injury, Poison, External",Carbon monoxide poisoning [Harmful effects of substances]
"Injury, Poison, External",Toxic effect: Toxic effect of other specified substances
"Injury, Poison, External",Toxic effect of alcohol
"Injury, Poison, External",Fracture of zygoma
"Injury, Poison, External",Fracture of shoulder or upper arm
"Injury, Poison, External",Rh incompatibility reaction
"Injury, Poison, External",Fracture of coccyx
"Injury, Poison, External","Dislocation or strain or sprain of joints or ligaments of shoulder girdle, unspecified"
"Injury, Poison, External",Neuroma (Neuroma of amputation stump)
"Injury, Poison, External",Fracture of rib
"Injury, Poison, External",Injury of heart
"Injury, Poison, External",Open wound of thorax
"Injury, Poison, External",Foreign body on external eye
"Injury, Poison, External",Dislocation of knee
"Injury, Poison, External",Superficial injury of forearm
"Injury, Poison, External",Effects of lightning
"Injury, Poison, External",Fracture of nasal bones
"Injury, Poison, External","Frostbite, unspecified"
"Injury, Poison, External",Traumatic haemothorax
"Injury, Poison, External",Open wound of head
"Injury, Poison, External",Injury of unspecified body region
"Injury, Poison, External",Concussion
"Injury, Poison, External",Other specified injuries to the thorax
"Injury, Poison, External",Fracture of neck
"Injury, Poison, External",Superficial injury of thorax
"Injury, Poison, External",Crushing injury of shoulder or upper arm
"Injury, Poison, External",Dental Disorder (Fracture of tooth)
"Injury, Poison, External",Concussion
"Injury, Poison, External",Crushing injury of forearm
"Injury, Poison, External",Fracture of femur
"Injury, Poison, External",Fracture of odontoid process
"Injury, Poison, External",Fracture (Fracture of thoracic vertebra)
"Injury, Poison, External","Fracture (Fracture of skull and facial bones, part unspecified)"
"Injury, Poison, External",Fracture (Fracture of neck)
"Injury, Poison, External",Dental Disorder (Dislocation of tooth)
"Injury, Poison, External",Open wound of shoulder and upper arm
"Injury, Poison, External",Fracture of mandible
"Injury, Poison, External",Avulsion of scalp
"Injury, Poison, External",Head (Crushing injury of head)
"Injury, Poison, External",Open wound of wrist or hand
"Injury, Poison, External",Fracture (Fracture of pubis)
"Injury, Poison, External",Injury (Unspecified injury of wrist and hand)
"Injury, Poison, External",Dislocation of patella
"Injury, Poison, External",Dislocation of knee
"Injury, Poison, External",Abdomen (Injury of intra-abdominal organ(s) with pelvic organ(s))
"Injury, Poison, External",Injury (Superficial injury of forearm)
"Injury, Poison, External",Open wound of forearm
"Injury, Poison, External",Fracture (Fracture of forearm)
"Injury, Poison, External",Injury (Superficial injury of hip and thigh)
"Injury, Poison, External",Injury (Superficial injury of lower leg)
"Injury, Poison, External",Injury (Unspecified injury of forearm)
"Injury, Poison, External",Certain specified injuries of head
"Injury, Poison, External",Injury of nerves at lower leg level
"Injury, Poison, External",Fracture of tooth
"Injury, Poison, External","Fracture (Fracture of lower leg, part unspecified)"
"Injury, Poison, External",Fracture (Fractures involving head with neck)
"Injury, Poison, External","Suicide (Injury, unspecified)"
"Injury, Poison, External",Fracture (Fracture of unspecified body region)
"Injury, Poison, External",Burn (Burn of unspecified degree of head and neck)
"Injury, Poison, External",Foreign Body (Foreign body in nostril)
"Injury, Poison, External",Foreign Body (Foreign body in oesophagus)
"Injury, Poison, External","Burn (Burn of unspecified degree of shoulder and upper limb, except wrist and hand)"
"Injury, Poison, External",Superficial injury of shoulder or upper arm
"Injury, Poison, External",Fracture at wrist or hand level
"Injury, Poison, External",Foreign Body (Foreign body in ear)
"Injury, Poison, External",Burn (Burn of unspecified degree of wrist and hand)
"Injury, Poison, External",Injury of nerves at wrist or hand level
"Injury, Poison, External","Burn (Burn of unspecified degree of hip and lower limb, except ankle and foot)"
"Injury, Poison, External",Burn (Burn of unspecified degree of ankle and foot)
"Injury, Poison, External",Burn (Burn of eyelid and periocular area)
"Injury, Poison, External",Other specified injuries of head
"Injury, Poison, External",Burn And Corrosion (Burn of larynx and trachea)
"Injury, Poison, External",Burn (Burn of other and unspecified internal organs)
"Injury, Poison, External",Fracture of lumbar spine or pelvis
"Injury, Poison, External",Burn (Burns and corrosions of multiple body regions)
"Injury, Poison, External",Foreign body in ear
"Injury, Poison, External","Burn (Burns of multiple regions, unspecified degree)"
"Injury, Poison, External",Fracture of clavicle
"Injury, Poison, External","Burn And Corrosion (Burn and corrosion, body region unspecified)"
"Injury, Poison, External","Fracture of lower leg, including ankle"
"Injury, Poison, External","Burn (Burn of unspecified body region, unspecified degree)"
"Injury, Poison, External","Corrosion (Corrosion of unspecified body region, unspecified degree)"
"Injury, Poison, External",Traumatic amputation of hip or thigh
"Injury, Poison, External",Burn (Burns involving less than 10% of body surface)
"Injury, Poison, External","Poisoning (Poisoning: Other and unspecified drugs, medicaments and biological substances)"
Mental & Behavioural,Dysthymic disorder
Mental & Behavioural,"Stimulant dependence including amphetamines, methamphetamine or methcathinone"
Mental & Behavioural,Cyclothymic disorder
Mental & Behavioural,Prolonged grief disorder
Mental & Behavioural,Dimentia (Unspecified dementia)
Mental & Behavioural,"Disorders due to substance use, unspecified"
Mental & Behavioural,"Delirium (Delirium, not induced by alcohol and other psychoactive substances)"
Mental & Behavioural,Delirium (Other delirium)
Mental & Behavioural,Alcohol Dependence (Mental and behavioural disorders due to use of alcohol)
Mental & Behavioural,Alcohol (Mental and behavioural disorders due to use of alcohol: Dependence syndrome)
Mental & Behavioural,Mental And Behavioural Disorders (due to use of alcohol: Other mental and behavioural disorders)
Mental & Behavioural,Depersonalizationderealization disorder
Mental & Behavioural,Complex post traumatic stress disorder
Mental & Behavioural,Schizophrenia (Paranoid schizophrenia)
Mental & Behavioural,Schizophrenia (Catatonic schizophrenia)
Mental & Behavioural,Conductdissocial disorder
Mental & Behavioural,Schizophrenia (Undifferentiated schizophrenia)
Mental & Behavioural,Schizophrenia (Residual schizophrenia)
Mental & Behavioural,Schizophrenia (Other schizophrenia)
Mental & Behavioural,"Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, unspecified"
Mental & Behavioural,"Schizophrenia (Schizophrenia, unspecified)"
Mental & Behavioural,Acute and transient psychotic disorder
Mental & Behavioural,Delusional Disorder (Persistent delusional disorders)
Mental & Behavioural,Delusion (Delusional disorder)
Mental & Behavioural,Psychotic Disorder (Acute and transient psychotic disorders)
Mental & Behavioural,Psychotic Disorder (Other acute and transient psychotic disorders)
Mental & Behavioural,Schizoaffective disorders
Mental & Behavioural,"Anxiety or fearrelated disorders, unspecified"
Mental & Behavioural,Obsessivecompulsive disorder
Mental & Behavioural,Unspecified nonorganic psychosis
Mental & Behavioural,Disorders due to use of cocaine
Mental & Behavioural,Manic episode
Mental & Behavioural,Disorders due to use of volatile inhalants
Mental & Behavioural,Mania with psychotic symptoms
Mental & Behavioural,Bipolar type I disorder
Mental & Behavioural,Disorders due to use of alcohol
Mental & Behavioural,"Bipolar Disorder (Bipolar affective disorder, current episode manic without psychotic symptoms)"
Mental & Behavioural,"Bipolar Disorder (Bipolar affective disorder, current episode manic with psychotic symptoms)"
Mental & Behavioural,"Bipolar Disorder (Bipolar affective disorder, current episode mild or moderate depression)"
Mental & Behavioural,Developmental learning disorder
Mental & Behavioural,Bipolar Disorder (Other bipolar affective disorders)
Mental & Behavioural,Possession trance disorder
Mental & Behavioural,Depression (Depressive episode)
Mental & Behavioural,Anxiety State (Generalized anxiety disorder)
Mental & Behavioural,Anxiety (Other specified anxiety disorders)
Mental & Behavioural,Body dysmorphic disorder
Mental & Behavioural,Stress Disorder (Post-traumatic stress disorder)
Mental & Behavioural,Adjustment Disorders
Mental & Behavioural,Behavioural or psychological disturbances in dementia
Mental & Behavioural,Dissociative [Conversion] Disorders
Mental & Behavioural,Pain (Persistent somatoform pain disorder)
Mental & Behavioural,Psychogenic Syncope (Other specified neurotic disorders)
Mental & Behavioural,"Neurosis (Neurotic disorder, unspecified)"
Mental & Behavioural,Personality Disorder (Emotionally unstable personality disorder)
Mental & Behavioural,Schizotypal disorder
Mental & Behavioural,"Feeding or eating disorders, unspecified"
Mental & Behavioural,Personality Disorder (Other specific personality disorders)
Mental & Behavioural,"Personality Disorder (Personality disorder, unspecified)"
Mental & Behavioural,Other specified neurodevelopmental disorders
Mental & Behavioural,Attention-Deficit Hyperactivity Disorder (Disturbance of activity and attention)
Mental & Behavioural,Attention-Deficit Hyperactivity Disorder (Hyperkinetic conduct disorder)
Mental & Behavioural,Chronic insomnia
Mental & Behavioural,"Attention-Deficit Hyperactivity Disorder (Hyperkinetic disorder, unspecified)"
Mental & Behavioural,Attention-Deficit Hyperactivity Disorder (Mixed disorders of conduct and emotions)
Mental & Behavioural,Recurrent depressive disorder
Mental & Behavioural,"Bipolar or related disorders, unspecified"
Mental & Behavioural,Generalised anxiety disorder
Mental & Behavioural,Catatonia induced by substances or medications
Mental & Behavioural,Dissociative neurological symptom disorder
Mental & Behavioural,Dissociative amnesia
Mental & Behavioural,Delirium
Mental & Behavioural,Specific phobia
Mental & Behavioural,Adjustment disorder
Mental & Behavioural,Excoriation disorder
Mental & Behavioural,Delusional disorder
Mental & Behavioural,Personality disorder
Mental & Behavioural,"Factitious disorders, unspecified"
Mental & Behavioural,Separation anxiety disorder
Mental & Behavioural,"Depressive disorders, unspecified"
Mental & Behavioural,Agitation or aggression in dementia
Mental & Behavioural,Dementia due to injury to the head
Mental & Behavioural,Dementia due to cerebrovascular disease
Mental & Behavioural,"Dementia, unknown or unspecified cause"
Mental & Behavioural,Oppositional defiant disorder
Mental & Behavioural,Dementia due to Alzheimer disease
Mental & Behavioural,Dementia due to diseases classified elsewhere
Mental & Behavioural,"Catatonia, unspecified"
Mental & Behavioural,"Mental or behavioural Disorders associated with pregnancy, childbirth or the puerperium, with psychotic symptoms"
Mental & Behavioural,"Disorders due to use of stimulants including amphetamines, methamphetamine or methcathinone"
Mental & Behavioural,Other specified neurocognitive disorders
Mental & Behavioural,Wandering in dementia
Mental & Behavioural,Bodyfocused repetitive behaviour disorders
Mental & Behavioural,"Disorders due to use of sedatives, hypnotics or anxiolytics"
Mental & Behavioural,Secondary psychotic syndrome
Mental & Behavioural,Agoraphobia
Mental & Behavioural,"Mood disorders, unspecified"
Mental & Behavioural,Other specified primary psychotic disorder
Mental & Behavioural,Alcohol dependence
Mental & Behavioural,Pedophilic disorder
Mental & Behavioural,Other specified bodyfocused repetitive behaviour disorders
Mental & Behavioural,Trance disorder
Mental & Behavioural,Bulimia Nervosa
Mental & Behavioural,Attention deficit hyperactivity disorder
Mental & Behavioural,Opioid dependence
Mental & Behavioural,"Disorders specifically associated with stress, unspecified"
Mental & Behavioural,"Mental or behavioural Disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms"
Mental & Behavioural,Autism spectrum disorder
Mental & Behavioural,Catatonia associated with another mental disorder
Mental & Behavioural,Disorders due to use of opioids
Mental & Behavioural,Mild neurocognitive disorder
Mental & Behavioural,Dementia due to psychoactive substances including medications
Mental & Behavioural,Trichotillomania
Mental & Behavioural,Disorders due to use of hallucinogens
Mental & Behavioural,Schizoaffective disorder
Mental & Behavioural,Frotteuristic disorder
Mental & Behavioural,Pyromania
Mental & Behavioural,Social anxiety disorder
Mental & Behavioural,Bipolar type II disorder
Mental & Behavioural,Amnestic disorder
Mental & Behavioural,Exhibitionistic disorder
Mental & Behavioural,Schizophrenia
Mental & Behavioural,Drugs (Mental and behavioural disorders due to use of cannabinoids: Withdrawal state)
Mental & Behavioural,Opioid intoxication
Mental & Behavioural,Intermittent explosive disorder
Mental & Behavioural,Dementia due to human immunodeficiency virus
Mental & Behavioural,Mild cognitive disorder
Mental & Behavioural,Dementia due to Parkinson disease
Mental & Behavioural,Schizotypal disorder
Mental & Behavioural,Autistic Psychopathy (Asperger syndrome)
Mental & Behavioural,Hypomania
Mental & Behavioural,Autism (Childhood autism)
Mental & Behavioural,Mania without psychotic symptoms
Mental & Behavioural,Selective mutism
Mental & Behavioural,Hypochondriasis (Hypochondriacal disorder)
Mental & Behavioural,Bipolar affective disorder
Mental & Behavioural,Disorders due to use of cannabis
Mental & Behavioural,Anorexia Nervosa
Mental & Behavioural,"Manic episode, unspecified"
Mental & Behavioural,Cannabis dependence
Mental & Behavioural,Post traumatic stress disorder
Mental & Behavioural,Panic disorder
Mental & Behavioural,Premature Ejaculation
Mental & Behavioural,Pica
Mental & Behavioural,Dissociative identity disorder
Mental & Behavioural,Disinhibition in dementia
Mental & Behavioural,"Paraphilic disorders, unspecified"
Mental & Behavioural,Dementia due to normal pressure hydrocephalus
Mental & Behavioural,"Mental, behavioural or neurodevelopmental disorders, unspecified"
Mental & Behavioural,Disorders due to use of nicotine
Mental & Behavioural,Enuresis
Mental & Behavioural,Secondary neurocognitive syndrome
Mental & Behavioural,Mixed depressive and anxiety disorder
Mental & Behavioural,Developmental speech or language disorders
Mental & Behavioural,Hypochondriasis
Mental & Behavioural,Schizophrenia
Mental & Behavioural,"Sedative, hypnotic or anxiolytic dependence"
Mental & Behavioural,Nicotine dependence
Musculoskeletal,Arthropathy in diseases classified elsewhere
Musculoskeletal,Fibroblastic disorders
Musculoskeletal,Ossification of spinal ligaments
Musculoskeletal,Seropositive rheumatoid arthritis
Musculoskeletal,Postinfectious arthropathies
Musculoskeletal,Medial epicondylitis of elbow
Musculoskeletal,Internal derangement of knee
Musculoskeletal,Acquired hallux valgus
Musculoskeletal,Chondropathies
Musculoskeletal,"Pathological fracture, not elsewhere classified"
Musculoskeletal,Other specified conditions associated with the spine
Musculoskeletal,Infectious spondyloarthritis
Musculoskeletal,Adhesive capsulitis of shoulder
Musculoskeletal,Certain specified enthesopathies
Musculoskeletal,Osteoarthritis of knee
Musculoskeletal,Osteoarthritis of other specified joint
Musculoskeletal,"Reactive arthropathy, unspecified"
Musculoskeletal,Seropositive rheumatoid arthritis
Musculoskeletal,Wear of articular bearing surface of joint prosthesis
Musculoskeletal,"Seropositive rheumatoid arthritis, unspecified"
Musculoskeletal,Other rheumatoid arthritis
Musculoskeletal,Seronegative rheumatoid arthritis
Musculoskeletal,Polymyalgia rheumatica
Musculoskeletal,Inflammatory polyarthropathy
Musculoskeletal,"Rheumatoid arthritis, unspecified"
Musculoskeletal,Delayed union of fracture
Musculoskeletal,Juvenile arthritis
Musculoskeletal,Psoriatic arthritis
Musculoskeletal,Juvenile rheumatoid arthritis
Musculoskeletal,Juvenile ankylosing spondylitis
Musculoskeletal,Postprocedural disorders of the musculoskeletal system
Musculoskeletal,"Stress fracture, not elsewhere classified"
Musculoskeletal,Certain specified disorders of bone density or structure
Musculoskeletal,Lateral epicondylitis of elbow
Musculoskeletal,"Gout (Gout, unspecified)"
Musculoskeletal,Other arthritis
Musculoskeletal,"Polyarthritis (Polyarthritis, unspecified)"
Musculoskeletal,Other specified infection related arthropathies
Musculoskeletal,Infection of intervertebral disc
Musculoskeletal,Diabetic arthropathy
Musculoskeletal,Deformity Of Finger(S)
Musculoskeletal,Hallux valgus (acquired)
Musculoskeletal,Hallux rigidus
Musculoskeletal,"Valgus deformity, not elsewhere classified"
Musculoskeletal,Spinal deformities
Musculoskeletal,Disorders of patella
Musculoskeletal,Paget disease of bone
Musculoskeletal,Contracture of joint
Musculoskeletal,Haemarthrosis
Musculoskeletal,Pain (Pain in joint)
Musculoskeletal,Acquired deformities of fingers or toes
Musculoskeletal,"Stiffness of joint, not elsewhere classified"
Musculoskeletal,"Joint disorder, unspecified"
Musculoskeletal,Arthropathies (Arthropathy in other blood disorders)
Musculoskeletal,Enthesopathies of lower limb
Musculoskeletal,"Spondylopathy, unspecified"
Musculoskeletal,Spondylolisthesis
Musculoskeletal,Cervical Disc Disorder (Cervical disc disorders)
Musculoskeletal,Other specified structural disorders of spine
Musculoskeletal,Lumbago (Lumbago with sciatica)
Musculoskeletal,Nonunion of fracture
Musculoskeletal,Osteomyelitis or osteitis
Musculoskeletal,"Dorsalgia, unspecified"
Musculoskeletal,Spontaneous rupture of synovium or tendon
Musculoskeletal,Myositis
Musculoskeletal,Other specified disorders of synovium or tendon
Musculoskeletal,"Myositis (Myositis, unspecified)"
Musculoskeletal,Frozen Shoulder (Adhesive capsulitis of shoulder)
Musculoskeletal,Soft Tissue Disorders (Other specified soft tissue disorders)
Musculoskeletal,Calcification or ossification of muscle
Musculoskeletal,Infectious myositis
Musculoskeletal,"Soft tissue disorder, unspecified"
Musculoskeletal,Osteoporosis with pathological fracture
Musculoskeletal,Fracture (Malunion of fracture)
Musculoskeletal,"Fracture (Stress fracture, not elsewhere classified)"
Musculoskeletal,Rotator cuff syndrome
Musculoskeletal,Effusion of joint
Musculoskeletal,Osteomyelitis (Chronic osteomyelitis with draining sinus)
Musculoskeletal,"Soft tissue disorders, unspecified"
Musculoskeletal,Osteomyelitis (other osteomyelitis)
Musculoskeletal,"Costochondritis (Osteochondropathy, unspecified)"
Musculoskeletal,Oligoosteoarthritis
Musculoskeletal,Juvenile idiopathic arthritis
Musculoskeletal,Adultonset Still disease
Musculoskeletal,Osteoporosis
Musculoskeletal,Low bone mass disorders
Musculoskeletal,Spinal instabilities
Musculoskeletal,Plantar fasciitis
Musculoskeletal,Axial spondyloarthritis
Musculoskeletal,Other specified enthesopathies of lower limb
Musculoskeletal,Inflammatory spondyloarthritis
Musculoskeletal,Malunion of fracture
Musculoskeletal,Lordosis
Musculoskeletal,Bursitis
Musculoskeletal,Spondylolysis
Musculoskeletal,Kyphosis
Musculoskeletal,Peripheral spondyloarthritis
Musculoskeletal,Disorders of patella
Musculoskeletal,Osteoarthritis of wrist and hand
Musculoskeletal,Intervertebral disc degeneration
Musculoskeletal,Osteonecrosis
Musculoskeletal,Tenosynovitis
Musculoskeletal,Vulvitis
Musculoskeletal,Trigger finger
Musculoskeletal,Other seropositive rheumatoid arthritis
Musculoskeletal,Diabetic arthropathy
Musculoskeletal,Shoulder lesions
Musculoskeletal,"Arthritis, unspecified"
Musculoskeletal,Spinal stenosis
Musculoskeletal,Scoliosis
Musculoskeletal,Calcaneal spur
Musculoskeletal,Rheumatoid nodule
Musculoskeletal,Other specified diseases of the musculoskeletal system or connective tissue
Musculoskeletal,Infection of vertebra
Musculoskeletal,Reiter disease
Musculoskeletal,"Juvenile arthritis, unspecified"
Musculoskeletal,Gout (Primary)
Musculoskeletal,Rheumatoid bursitis
Musculoskeletal,Idiopathic gout
Musculoskeletal,Tuberculosis of spine
Musculoskeletal,Low Back Pain
Musculoskeletal,Gout (Drug-induced gout)
Musculoskeletal,Myositis (Infective myositis)
Musculoskeletal,Polyarteritis nodosa
Musculoskeletal,Juvenile polyarteritis
Musculoskeletal,Pain (Pain in thoracic spine)
Musculoskeletal,Wrist or foot drop (acquired)
Musculoskeletal,Fistula (Fistula of joint)
Musculoskeletal,Systemic lupus erythematosus
Musculoskeletal,Scoliosis
Musculoskeletal,Gout
Musculoskeletal,Sciatica
Musculoskeletal,Myalgia
Musculoskeletal,Certain specified disorders of synovium or tendon
Musculoskeletal,Polymyositis
Musculoskeletal,Radiculopathy
Musculoskeletal,Polyosteoarthritis
Musculoskeletal,Ganglion
Musculoskeletal,Pain (Pain in limb)
Musculoskeletal,Fibromyalgia
Musculoskeletal,"Fracture (Pathological fracture, not elsewhere classified)"
Musculoskeletal,Osteomyelitis
Musculoskeletal,Osteomyelitis (Other chronic osteomyelitis)
Musculoskeletal,"Osteochondrosis (Juvenile osteochondrosis, unspecified)"
Musculoskeletal,Ganglion
Musculoskeletal,Torticollis
Musculoskeletal,Ankylosis of spinal joint
Musculoskeletal,Rheumatoid arthritis
Musculoskeletal,Other specified arthropathies
Musculoskeletal,Other acquired deformities of limbs
Musculoskeletal,Spinal endplate defects
Musculoskeletal,Reactive arthropathies
Neoplasms,Glioblastoma of brain
Neoplasms,Primary neoplasms of meninges
Neoplasms,Malignant neoplasms of urethra or paraurethral gland
Neoplasms,Malignant neoplasm metastasis in pleura
Neoplasms,Carcinoma in situ of endometrium
Neoplasms,Malignant neoplasms of other endocrine glands or related structures
Neoplasms,Other specified mature Bcell neoplasms or lymphoma
Neoplasms,Carcinomas of ovary
Neoplasms,Benign neoplasm of ovary
Neoplasms,Primary myelofibrosis
Neoplasms,"Malignant neoplasm metastasis in spinal cord, cranial nerves or remaining parts of central nervous system"
Neoplasms,Carcinoma in situ of other or unspecified digestive organs
Neoplasms,Primary neoplasms of brain
Neoplasms,Acute leukaemias of ambiguous lineage
Neoplasms,Malignant neoplasm metastasis in lymph node of a single region
Neoplasms,Benign vascular neoplasms
Neoplasms,Benign cutaneous melanocytic neoplasms
Neoplasms,Malignant neoplasms of bladder
Neoplasms,"Malignant neoplasms of proximal biliary tract, cystic duct"
Neoplasms,Malignant neoplasms of vulva
Neoplasms,"Malignant neoplasms of biliary tract, distal bile duct"
Neoplasms,"Malignant neoplasms of lip, oral cavity or pharynx, unspecified"
Neoplasms,Malignant neoplasm metastasis in bone or bone marrow
Neoplasms,Malignant neoplasms of stomach
Neoplasms,Carcinoma in situ of vulva
Neoplasms,Refractory thrombocytopenia
Neoplasms,Malignant neoplasms of prostate
Neoplasms,Benign neoplasm of major salivary glands
Neoplasms,Benign keratinocytic acanthomas
Neoplasms,Malignant phyllodes tumour of breast
Neoplasms,"Myelodysplastic syndromes, unspecified"
Neoplasms,Malignant neoplasm of conjunctiva
Neoplasms,Malignant neoplasms of rectum
Neoplasms,Malignant neoplasm of liver
Neoplasms,Malignant neoplasms of oropharynx
Neoplasms,Malignant neoplasms of vagina
Neoplasms,"Mature Tcell lymphoma, specified types, nodal or systemic"
Neoplasms,Malignant neoplasms of ampulla of Vater
Neoplasms,Carcinoma in situ of rectum
Neoplasms,Malignant neoplasm metastasis in meninges
Neoplasms,Malignant trophoblastic neoplasms of placenta
Neoplasms,"Precursor lymphoid neoplasms, unspecified"
Neoplasms,Malignant neoplasm metastasis in peritoneum
Neoplasms,Malignant neoplasms of oesophagus
Neoplasms,Intraductal papilloma of breast
Neoplasms,Diffuse large Bcell lymphomas
Neoplasms,"Chondrosarcoma, primary site"
Neoplasms,Malignant neoplasms of colon
Neoplasms,Invasive carcinoma of breast
Neoplasms,Malignant neoplasms of lip
Neoplasms,Malignant neoplasm metastasis in mediastinum
Neoplasms,Malignant neoplasms of palate
Neoplasms,Neoplasms of unknown behaviour of other specified site
Neoplasms,Medulloblastoma of brain
Neoplasms,Melanoma in situ neoplasms
Neoplasms,Malignant neoplasms of scrotum
Neoplasms,"Benign neoplasm of ovary, unspecified"
Neoplasms,Malignant neoplasms of peritoneum
Neoplasms,Malignant neoplasms of nasal cavity
Neoplasms,Leiomyoma of uterus
Neoplasms,Inflammatory carcinoma of breast
Neoplasms,Malignant neoplasm of intrahepatic bile ducts
Neoplasms,Non mast cell myeloproliferative neoplasms
Neoplasms,Benign neoplasm of breast
Neoplasms,"Malignant neoplasms of kidney, except renal pelvis"
Neoplasms,Cervical Intraepithelial neoplasia grade I
Neoplasms,Mature Bcell neoplasm with leukaemic behaviour
Neoplasms,"Malignant neoplasms of uterine ligament, parametrium, or uterine adnexa"
Neoplasms,Malignant neoplasms of parotid gland
Neoplasms,Chronic lymphocytic leukaemia of Bcell type
Neoplasms,Malignant neoplasms of placenta
Neoplasms,Malignant haematopoietic neoplasms without further specification
Neoplasms,"Malignant neoplasms of breast, unspecified"
Neoplasms,Malignant neoplasm of orbit
Neoplasms,Malignant neoplasms of rectosigmoid junction
Neoplasms,Benign smooth muscle or skeletal muscle tumour
Neoplasms,"Fibroblastic or myofibroblastic tumour, primary site"
Neoplasms,"Rhabdomyosarcoma, primary site"
Neoplasms,Malignant neoplasm metastases in lymph nodes of multiple regions
Neoplasms,"Atypical chronic myeloid leukaemia, BCRABL1 negative"
Neoplasms,Malignant neoplasm metastasis in liver or intrahepatic bile duct
Neoplasms,Juvenile myelomonocytic leukaemia
Neoplasms,Fibroadenoma of breast
Neoplasms,Malignant neoplasms of base of tongue
Neoplasms,Malignant neoplasm metastasis in retroperitoneum
Neoplasms,Carcinoma in situ of cervix uteri
Neoplasms,Squamous cell carcinoma of skin
Neoplasms,Astroblastoma of the brain
Neoplasms,Chronic lymphocytic leukaemia or small lymphocytic lymphoma
Neoplasms,Precursor Tlymphoblastic neoplasms
Neoplasms,Benign neoplasm of endocrine glands
Neoplasms,Carcinoma in situ of colon
Neoplasms,"Malignant neoplasm: Floor of mouth, unspecified (Malignant neoplasm of other, unspecified parts of mouth)"
Neoplasms,Malignant neoplasm of other and unspecified parts of mouth (Malignant neoplasm of oropharynx)
Neoplasms,Malignant neoplasm of oropharynx (Malignant neoplasm of oesophagus)
Neoplasms,Embryonal tumours of brain
Neoplasms,Malignant neoplasm of oesophagus (Malignant neoplasm of stomach)
Neoplasms,Malignant neoplasms of adrenal gland
Neoplasms,Burkitt lymphoma including Burkitt leukaemia
Neoplasms,"Malignant (Malignant neoplasm: Stomach, unspecified)"
Neoplasms,Malignant neoplasm of stomach (Malignant neoplasm of small intestine)
Neoplasms,Malignant neoplasm of small intestine (Malignant neoplasm: Duodenum)
Neoplasms,Malignant neoplasms of penis
Neoplasms,Malignant neoplasm: Duodenum (Malignant neoplasm: Jejunum)
Neoplasms,Malignant neoplasms of perihilar bile duct
Neoplasms,Malignant neoplasm: Jejunum (Malignant neoplasm: Ileum)
Neoplasms,Malignant neoplasms of anus or anal canal
Neoplasms,Malignant neoplasm: Ileum (Malignant neoplasm of colon)
Neoplasms,Melanoma in situ of skin
Neoplasms,Malignant neoplasm: Sigmoid colon (Malignant neoplasm of anus and anal canal)
Neoplasms,Malignant neoplasms of omentum
Neoplasms,Malignant neoplasm of anus and anal canal (Malignant neoplasm: Liver cell carcinoma)
Neoplasms,"Malignant neoplasm: Larynx, unspecified (Malignant neoplasm of trachea)"
Neoplasms,"Mature Tcell or NKcell neoplasms, unspecified"
Neoplasms,"Synovial sarcoma, primary site"
Neoplasms,Malignant neoplasm of trachea (Malignant neoplasm of bronchus and lung)
Neoplasms,"Malignant neoplasm of bronchus and lung (Malignant neoplasm: Mediastinum, part unspecified)"
Neoplasms,"Myelodysplastic and myeloproliferative neoplasms, unspecified"
Neoplasms,"Malignant neoplasm: Upper respiratory tract, part unspecified"
Neoplasms,"Malignant neoplasm: Bone and articular cartilage, unspecified"
Neoplasms,Benign osteogenic tumours
Neoplasms,Malignant neoplasms of fallopian tube
Neoplasms,"Malignant neoplasm: Bone and articular cartilage, unspecified (Malignant melanoma of skin)"
Neoplasms,Malignant Neoplasm (Kaposi sarcoma)
Neoplasms,"Benign mesenchymal neoplasms, unspecified"
Neoplasms,"Malignant (Malignant neoplasm: Breast, unspecified)"
Neoplasms,Malignant neoplasms of accessory sinuses
Neoplasms,"Malignant neoplasms of uterus, part not specified"
Neoplasms,"Malignant neoplasms of large intestine, site unspecified"
Neoplasms,Benign nonmesenchymal neoplasms of uterus
Neoplasms,Tumours of neuroepithelial tissue of brain
Neoplasms,Malignant neoplasm: Endometrium (Malignant neoplasm: Myometrium)
Neoplasms,Malignant neoplasm: Myometrium (Malignant neoplasm of ovary)
Neoplasms,Malignant neoplasm of ovary (Malignant neoplasm of other and unspecified female genital organs)
Neoplasms,"Malignant neoplasm: Female genital organ, unspecified (Malignant neoplasm of prostate)"
